insert_1_id_code,insert_1_ori_code,insert_2_id_code,insert_2_ori_code,insert_3_id_code,insert_3_ori_code,insert_4_id_code,insert_4_ori_code,insert_5_id_code,insert_5_ori_code,avg_Rep
0,0,2,0,10,0,1,0,10,0,0.0145218836065912
0,0,2,0,10,0,6,0,4,0,0.0541159537002237
0,0,2,0,10,0,8,1,5,1,0.110392911959008
0,0,2,0,10,0,9,0,8,0,0.0385031619356734
0,0,2,0,10,1,2,0,4,1,0.0141749900645739
0,0,2,0,10,1,8,1,4,1,0.0193659313716539
0,0,2,1,0,0,0,0,7,1,0.486490815003599
0,0,2,1,0,0,1,1,5,1,0.0152002659387825
0,0,2,1,0,0,1,1,10,0,0.0946108263624843
0,0,2,1,0,0,2,0,4,1,0.0084750753410728
0,0,2,1,0,0,3,1,10,1,0.110607990435149
0,0,2,1,0,0,4,0,4,0,0.0266440504567307
0,0,2,1,0,0,4,0,7,1,0.486026616439404
0,0,2,1,0,0,4,0,8,0,0.0350730283162554
0,0,2,1,0,0,4,1,2,0,0.0129830483247214
0,0,2,1,0,0,4,1,8,0,0.0232052838796513
0,0,2,1,0,0,5,0,9,1,0.0176710017377731
0,0,2,1,0,0,5,1,4,0,0.0247314525625349
0,0,2,1,0,0,5,1,7,0,12.8418867357522
0,0,2,1,0,0,8,1,9,0,0.0402038346104483
0,0,2,1,0,0,10,0,8,0,0.039994661115354
0,0,2,1,0,1,0,1,4,1,0.0394199057950089
0,0,2,1,0,1,1,1,7,0,21.2336110998024
0,0,2,1,0,1,4,0,0,0,0.0193395827954735
0,0,2,1,0,1,4,0,8,1,0.136172101567468
0,0,2,1,0,1,7,1,8,0,0.178447923667545
0,0,2,1,0,1,9,0,4,1,0.0179774711300725
0,0,2,1,1,0,2,0,3,1,0.06736520318732
0,0,2,1,1,0,3,1,3,1,0.115046840833072
0,0,2,1,1,0,5,0,3,0,0.010591591685587
0,0,2,1,1,0,5,0,5,0,0.0087199634893797
0,0,2,1,1,1,2,0,4,1,0.0178313889079491
0,0,2,1,1,1,8,1,5,0,0.0778958633426765
0,0,2,1,1,1,9,1,8,1,0.136638712918979
0,0,2,1,2,1,0,1,3,0,0.0238255887991559
0,0,2,1,2,1,4,1,0,0,0.0277316988685156
0,0,2,1,2,1,5,1,1,0,0.0061641097828978
0,0,2,1,2,1,5,1,5,1,0.0285719020705155
0,0,2,1,2,1,8,0,5,0,0.0579525600067836
0,0,2,1,3,0,0,0,1,1,0.0185093010009885
0,0,2,1,3,0,0,1,4,0,0.0380833099349889
0,0,2,1,3,0,9,0,5,1,0.0092610145987892
0,0,2,1,3,1,0,1,7,0,0.44516009751702
0,0,2,1,3,1,2,1,4,1,0.0359464217618685
0,0,2,1,3,1,4,0,7,0,2.2728638757304
0,0,2,1,4,0,0,1,4,0,0.0353394807026344
0,0,2,1,4,0,1,1,7,0,6.13907449780805
0,0,2,1,4,0,1,1,10,1,0.0882281691707541
0,0,2,1,4,0,2,1,4,0,0.0247081946968968
0,0,2,1,4,0,3,1,8,0,0.329535550290107
0,0,2,1,4,0,5,1,9,1,0.0137123158582245
0,0,2,1,4,0,6,1,4,0,0.0182915187689292
0,0,2,1,4,0,9,0,8,0,0.021980830849471
0,0,2,1,4,0,9,0,10,0,0.072320178774162
0,0,2,1,4,0,10,1,8,1,0.0748559473971672
0,0,2,1,4,1,0,1,7,0,14.3028768679692
0,0,2,1,4,1,0,1,9,0,0.0242666350002499
0,0,2,1,4,1,3,0,5,0,0.0170461372727874
0,0,2,1,4,1,4,1,8,1,0.0801587729802913
0,0,2,1,4,1,5,0,10,0,0.163749842606915
0,0,2,1,4,1,5,1,3,1,0.117311345646431
0,0,2,1,4,1,5,1,4,0,0.0083310234242395
0,0,2,1,4,1,8,0,5,0,0.0410621177915565
0,0,2,1,4,1,8,1,0,0,0.0085350066266681
0,0,2,1,5,0,4,1,4,1,0.0166755142606515
0,0,2,1,5,0,7,0,4,0,0.169502266113022
0,0,2,1,5,0,7,1,1,1,1.31741151288688
0,0,2,1,5,0,8,0,5,1,0.0271534359111559
0,0,2,1,5,0,8,0,6,0,0.0675698011206792
0,0,2,1,5,0,8,1,5,1,0.0354097888784843
0,0,2,1,5,0,10,0,5,1,0.0574863251431086
0,0,2,1,5,1,3,0,4,0,0.0031397559387106
0,0,2,1,5,1,4,0,3,1,0.0644981081612893
0,0,2,1,6,0,0,1,8,1,0.24049865598339
0,0,2,1,6,0,7,0,4,0,0.0299030892601548
0,0,2,1,7,0,3,1,4,1,0.1642518252577
0,0,2,1,7,0,7,0,0,1,26.229136250311
0,0,2,1,7,0,8,0,4,0,0.121086220709199
0,0,2,1,7,0,8,0,10,1,0.407202619501978
0,0,2,1,7,0,8,1,5,1,0.824095582388904
0,0,2,1,7,1,3,0,2,0,0.0390487750525514
0,0,2,1,7,1,4,0,5,0,0.345453274828577
0,0,2,1,8,0,0,0,1,1,0.0353629491420857
0,0,2,1,8,0,0,0,9,1,0.0319247435614444
0,0,2,1,8,0,1,0,10,0,0.1076207341588
0,0,2,1,8,0,1,1,8,1,0.992886693464451
0,0,2,1,8,0,5,1,6,0,0.0337800102902249
0,0,2,1,8,0,10,1,8,1,0.34017519739004
0,0,2,1,8,1,2,0,0,1,0.0576417537125074
0,0,2,1,8,1,2,0,4,1,0.0144758701671818
0,0,2,1,8,1,2,0,5,0,0.0534301596136147
0,0,2,1,8,1,4,1,5,0,0.0722140981614913
